timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1682549510575,9452,Get all projects,500,Internal Server Error,Thread group 1-81,,false,,111,139,95,95,http://172.16.1.2:32785/api-gateway/projects,9452,0,0
1682549501392,18635,Get all projects,500,Internal Server Error,Thread group 1-80,,false,,111,139,95,95,http://172.16.1.2:32785/api-gateway/projects,18635,0,0
1682549490402,29625,Get all projects,500,Internal Server Error,Thread group 1-13,,false,,111,139,95,95,http://172.16.1.2:32785/api-gateway/projects,29625,0,0
1682549501258,18769,Get all projects,500,Internal Server Error,Thread group 1-41,,false,,111,139,95,95,http://172.16.1.2:32785/api-gateway/projects,18769,0,0
1682549501392,18635,Get all projects,500,Internal Server Error,Thread group 1-15,,false,,111,139,95,95,http://172.16.1.2:32785/api-gateway/projects,18635,0,0
1682549501413,18616,Get all projects,500,Internal Server Error,Thread group 1-74,,false,,111,139,95,95,http://172.16.1.2:32785/api-gateway/projects,18616,0,0
1682549510428,9601,Get all projects,500,Internal Server Error,Thread group 1-68,,false,,111,139,95,95,http://172.16.1.2:32785/api-gateway/projects,9601,0,0
1682549520027,9516,Get all project phases,500,Internal Server Error,Thread group 1-13,,false,,111,137,95,95,http://172.16.1.2:32785/api-gateway/phases,9516,0,0
1682549529543,0,Delete project phase,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 44: http://172.16.1.2:32785/api-gateway/phases/${project_phase_id},Thread group 1-13,text,false,,1213,0,95,95,http://172.16.1.2:32785/api-gateway/phases/${project_phase_id},0,0,0
1682549529543,0,Delete project,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 46: http://172.16.1.2:32785/api-gateway/projects/${project_id},Thread group 1-13,text,false,,1209,0,95,95,http://172.16.1.2:32785/api-gateway/projects/${project_id},0,0,0
1682549509621,20107,Get all project phases,500,Internal Server Error,Thread group 1-11,,false,,111,137,94,94,http://172.16.1.2:32785/api-gateway/phases,20107,0,0
1682549529729,0,Delete project phase,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 44: http://172.16.1.2:32785/api-gateway/phases/${project_phase_id},Thread group 1-11,text,false,,1213,0,94,94,http://172.16.1.2:32785/api-gateway/phases/${project_phase_id},0,0,0
1682549529729,0,Delete project,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 46: http://172.16.1.2:32785/api-gateway/projects/${project_id},Thread group 1-11,text,false,,1209,0,94,94,http://172.16.1.2:32785/api-gateway/projects/${project_id},0,0,0
1682549509623,20108,Get all project phases,500,Internal Server Error,Thread group 1-9,,false,,111,137,93,93,http://172.16.1.2:32785/api-gateway/phases,20108,0,0
1682549529731,0,Delete project phase,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 44: http://172.16.1.2:32785/api-gateway/phases/${project_phase_id},Thread group 1-9,text,false,,1213,0,93,93,http://172.16.1.2:32785/api-gateway/phases/${project_phase_id},0,0,0
1682549520019,9712,Get all project phases,500,Internal Server Error,Thread group 1-44,,false,,111,137,93,93,http://172.16.1.2:32785/api-gateway/phases,9712,0,0
1682549529731,0,Delete project,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 46: http://172.16.1.2:32785/api-gateway/projects/${project_id},Thread group 1-9,text,false,,1209,0,93,93,http://172.16.1.2:32785/api-gateway/projects/${project_id},0,0,0
1682549529731,0,Delete project phase,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 44: http://172.16.1.2:32785/api-gateway/phases/${project_phase_id},Thread group 1-44,text,false,,1213,0,93,93,http://172.16.1.2:32785/api-gateway/phases/${project_phase_id},0,0,0
1682549529731,0,Delete project,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 46: http://172.16.1.2:32785/api-gateway/projects/${project_id},Thread group 1-44,text,false,,1209,0,93,93,http://172.16.1.2:32785/api-gateway/projects/${project_id},0,0,0
1682549520023,9710,Get all project phases,500,Internal Server Error,Thread group 1-27,,false,,111,137,91,91,http://172.16.1.2:32785/api-gateway/phases,9710,0,0
1682549529733,0,Delete project phase,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 44: http://172.16.1.2:32785/api-gateway/phases/${project_phase_id},Thread group 1-27,text,false,,1213,0,91,91,http://172.16.1.2:32785/api-gateway/phases/${project_phase_id},0,0,0
1682549529733,0,Delete project,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 46: http://172.16.1.2:32785/api-gateway/projects/${project_id},Thread group 1-27,text,false,,1209,0,91,91,http://172.16.1.2:32785/api-gateway/projects/${project_id},0,0,0
1682549509629,20125,Get all project phases,500,Internal Server Error,Thread group 1-19,,false,,111,137,90,90,http://172.16.1.2:32785/api-gateway/phases,20125,0,0
1682549529755,0,Delete project phase,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 44: http://172.16.1.2:32785/api-gateway/phases/${project_phase_id},Thread group 1-19,text,false,,1213,0,90,90,http://172.16.1.2:32785/api-gateway/phases/${project_phase_id},0,0,0
1682549529755,0,Delete project,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 46: http://172.16.1.2:32785/api-gateway/projects/${project_id},Thread group 1-19,text,false,,1209,0,90,90,http://172.16.1.2:32785/api-gateway/projects/${project_id},0,0,0
1682549520029,9727,Get all project phases,500,Internal Server Error,Thread group 1-74,,false,,111,137,89,89,http://172.16.1.2:32785/api-gateway/phases,9727,0,0
1682549529757,0,Delete project phase,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 44: http://172.16.1.2:32785/api-gateway/phases/${project_phase_id},Thread group 1-74,text,false,,1213,0,89,89,http://172.16.1.2:32785/api-gateway/phases/${project_phase_id},0,0,0
1682549529757,0,Delete project,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 46: http://172.16.1.2:32785/api-gateway/projects/${project_id},Thread group 1-74,text,false,,1209,0,89,89,http://172.16.1.2:32785/api-gateway/projects/${project_id},0,0,0
1682549510700,19343,Get all projects,500,Internal Server Error,Thread group 1-89,,false,,111,139,88,88,http://172.16.1.2:32785/api-gateway/projects,19343,0,0
1682549510430,19613,Get all projects,500,Internal Server Error,Thread group 1-28,,false,,111,139,88,88,http://172.16.1.2:32785/api-gateway/projects,19613,0,0
1682549510373,19671,Get all projects,500,Internal Server Error,Thread group 1-31,,false,,111,139,88,88,http://172.16.1.2:32785/api-gateway/projects,19671,0,0
1682549510428,19616,Get all projects,500,Internal Server Error,Thread group 1-37,,false,,111,139,88,88,http://172.16.1.2:32785/api-gateway/projects,19616,0,0
